,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
32,Irene Armendariz-Jackson,Female,Latino,,,No,No,Texas,3/1/22,Representative,16,12623,100,Won,0,0,,Fully denied,No,,,,,,,,,Latino,ARMENDARIZ-JACKSON,IRENE,IRENE,ARMENDARIZ-JACKSON,0,['Latino (Mexican)'],H0TX16106,"ARMENDARIZ-JACKSON, IRENE",C,2,REP,389697.69,0.0,397535.48,0.0,16242.25,1970.39,46.0,0.0,0.0,0.0,0.0,15090.0,375098.96,TX,16.0,,,,,,8500.0,0.0,12/31/2022,975.73,0.0,ARMENDARIZ-JACKSON,IRENE
33,Paulette Carson,Female,White,,,No,Yes,Texas,3/1/22,Representative,17,7246,11,Lost,0,0,,Fully denied,No,,,,,,,,,White,CARSON,PAULETTE,PAULETTE,CARSON,0,[],H2TX08216,"CARSON, PAULETTE",O,2,REP,36674.67,0.0,36572.67,0.0,0.0,102.0,0.0,5700.0,0.0,1150.0,0.0,4550.0,30974.67,TX,17.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,CARSON,PAULETTE
34,Rob Rosenberger,Male,White,,,No,Yes,Texas,3/1/22,Representative,17,5100,7,Lost,0,0,,Fully accepted,No,,,,,,,,,White,ROSENBERGER,ROB,ROB,ROSENBERGER,0,[],H2TX17100,"ROSENBERGER, ROB",C,2,REP,710.0,0.0,90.15,0.0,0.0,619.85,0.0,0.0,0.0,0.0,0.0,0.0,710.0,TX,17.0,,,,,,0.0,0.0,12/31/2021,0.0,0.0,ROSENBERGER,ROB
35,Pete Sessions,Male,White,,,Yes,No,Texas,3/1/22,Representative,17,48222,70,Won,0,0,,Fully denied,No,,,,,,,,,White,SESSIONS,PETE,PETE,SESSIONS,0,[],H2TX03126,"SESSIONS, PETE",I,2,REP,1001775.53,0.0,1079651.04,0.0,165989.81,88114.3,0.0,0.0,0.0,140000.0,0.0,0.0,414154.0,TX,17.0,,,,,,570430.74,0.0,12/31/2022,0.0,2500.0,SESSIONS,PETE
36,Carmen Maria Montiel,Female,Latino,,,No,No,Texas,3/1/22,Representative,18,11087,100,Won,0,0,,Fully denied,No,,,,,,,,,Latino,MONTIEL,CARMEN,CARMEN,MONTIEL,0,['Latino (Venezuelan)'],H2TX18207,"MONTIEL, CARMEN",C,2,REP,126358.5,0.0,122788.35,0.0,0.0,3570.15,0.0,0.0,0.0,0.0,0.0,0.0,122958.5,TX,18.0,,,,,,3400.0,0.0,12/31/2022,0.0,0.0,MONTIEL,CARMEN
37,Jodey C. Arrington,Male,White,,,Yes,No,Texas,3/1/22,Representative,19,68503,100,Won,0,0,,Fully denied,Yes,2/17/22,,,,,,,,White,ARRINGTON,JODEY,JODEY,ARRINGTON,0,[],H6TX19099,"ARRINGTON, JODEY COOK",I,2,REP,2070671.6,505781.0,1848694.46,0.0,1099354.01,1321331.15,0.0,0.0,0.0,0.0,0.0,0.0,525996.45,TX,19.0,,,,,,1036067.15,0.0,12/31/2022,1000.0,4500.0,ARRINGTON,JODEY
38,Kyle Sinclair,Male,White,,,No,No,Texas,3/1/22,Representative,20,15938,100,Won,0,0,,No comment,No,,,,,,,,,White,SINCLAIR,KYLE,KYLE,SINCLAIR,0,[],H2TX20096,"SINCLAIR, KYLE E MR",C,2,REP,293147.37,0.0,291608.29,0.0,0.0,1539.08,0.0,5000.0,0.0,0.0,0.0,0.0,266447.37,TX,20.0,,,,,,21700.0,0.0,12/31/2022,300.0,0.0,SINCLAIR,KYLE
39,Michael Alexander French,Male,White,,,No,Yes,Texas,3/1/22,Representative,21,3886,4,Lost,0,0,,No comment,No,,No,,,,,,,White,FRENCH,MICHAEL,MICHAEL,FRENCH,0,[],H2TX21136,"FRENCH, MICHAEL ALEXANDER MR.",C,2,REP,4717.16,0.0,5457.66,0.0,3000.0,5000.0,4062.16,0.0,0.0,0.0,0.0,0.0,655.0,TX,21.0,,,,,,0.0,0.0,02/17/2022,0.0,0.0,FRENCH,MICHAEL
40,Robert Lowry,Male,White,,,No,Yes,Texas,3/1/22,Representative,21,7642,8,Lost,0,0,,No comment,No,,No,,,,,,,White,LOWRY,ROBERT,ROBERT,LOWRY,0,[],H2TX21144,"LOWRY, ROBERT DR.",C,2,REP,42145.17,0.0,43072.93,0.0,0.0,-927.76,0.0,23325.0,0.0,0.0,0.0,23181.0,18820.17,TX,21.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,LOWRY,ROBERT
41,Chip Roy,Male,White,,,Yes,No,Texas,3/1/22,Representative,21,78087,83,Won,0,0,,Fully accepted,No,,Yes,,,,,,,White,ROY,CHIP,CHIP,ROY,1,[],H8TX21307,"ROY, CHIP",I,2,REP,2344485.0,229020.37,1559344.77,0.0,463582.78,1248723.01,0.0,0.0,0.0,0.0,0.0,0.0,1791443.4,TX,21.0,,,,,,302073.71,0.0,12/31/2022,17650.0,0.0,ROY,CHIP
