,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Biden,Race,Lastname_x,Firstname_x,Num Endorcements,Ethnicity,Fuzzy_Firstname,Fuzzy_Lastname,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
543,Danielle Hawk,Female,White,,,No,No,Florida,8/23/2022,Representative,3,37181,68,Won,0,0,,,,,,,,,,,False,White,HAWK,DANIELLE,0,[],DANIELLE,HAWK,H2FL03163,"HAWK, DANIELLE NICOLE",C,1,DEM,77168.35,0.0,49881.27,0.0,0.0,5347.07,0.0,0.0,0.0,0.0,0.0,0.0,77085.17,FL,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HAWK,DANIELLE
544,Tom Wells,Male,White,,,No,No,Florida,8/23/2022,Representative,3,17799,32,Lost,0,0,,,,,,,,,,,False,White,WELLS,TOM,0,[],TOM,WELLS,H8FL03020,"WELLS, TOM BECKWITH DR.",C,1,DEM,28006.47,0.0,27920.42,0.0,708.79,304.88,0.0,26350.0,0.0,0.0,0.0,29450.0,1656.47,FL,3.0,,,,,,0.0,0.0,12/31/2022,54.8,0.0,WELLS,TOM
545,"Anthony ""Tony"" Hill",Male,Black,,,No,No,Florida,8/23/2022,Representative,4,29145,50,Lost,0,0,,,,,,,,,,,False,Black,HILL,ANTHONY,0,[],ANTHONY,HILL,H2FL04195,"HILL, ANTHONY TONY",C,1,DEM,60104.39,0.0,36914.98,0.0,0.0,20242.62,25.0,0.0,0.0,0.0,0.0,0.0,47079.39,FL,4.0,,,,,,13000.0,0.0,12/31/2022,0.0,0.0,HILL,ANTHONY
546,"LaShonda ""L.J."" Holloway",Female,Black,,,No,No,Florida,8/23/2022,Representative,4,29352,50,Won,0,0,,,,,,,,,,,False,Black,HOLLOWAY,LASHONDA,0,[],LASHONDA,HOLLOWAY,H6FL05193,"HOLLOWAY, LASHONDA J",C,1,DEM,10465.32,0.0,0.0,0.0,0.0,10465.32,0.0,0.0,0.0,0.0,0.0,0.0,10465.32,FL,4.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HOLLOWAY,LASHONDA
547,"Hilsia ""Tatiana"" Fernandez",Female,Latino,,,No,No,Florida,8/23/2022,Representative,7,10261,20,Lost,0,0,,,,,,,,,,,False,Latino,FERNANDEZ,HILSIA,0,['Latino (Puerto Rican)'],HLSIA,FERNANDEZ,H2FL07289,"FERNANDEZ, HLSIA TATIANA",O,1,DEM,17325.0,0.0,14616.27,0.0,0.0,2708.73,0.0,17000.0,0.0,0.0,0.0,17000.0,325.0,FL,7.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,FERNANDEZ,HLSIA
548,Karen Green,Female,Black,,,No,No,Florida,8/23/2022,Representative,7,23051,45,Won,0,0,,,,,,,,,,,False,Black,GREEN,KAREN,0,[],KAREN,GREEN,H2FL08139,"GREEN, KAREN REV. DR.",O,1,DEM,67798.9,0.0,81174.9,0.0,0.0,0.0,0.0,12026.0,0.0,0.0,0.0,12026.0,53772.9,FL,7.0,,,,,,2000.0,0.0,12/31/2022,7903.05,0.0,GREEN,KAREN
549,Al Krulick,Male,White,,,No,No,Florida,8/23/2022,Representative,7,10787,21,Lost,0,0,,,,,,,,,,,False,White,KRULICK,AL,0,[],AL,KRULICK,H2FL07255,"KRULICK, AL MR.",O,1,DEM,22789.0,0.0,18576.83,0.0,51.66,4051.66,0.0,8400.0,0.0,0.0,0.0,4000.0,14389.0,FL,7.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,KRULICK,AL
551,Allek Pastrana,Male,Latino,,,No,No,Florida,8/23/2022,Representative,7,7289,14,Lost,0,0,,,,,,,,,,,False,Latino,PASTRANA,ALLEK,0,['Latino (Puerto Rican)'],ALLEK,PASTRANA,H2FL07230,"PASTRANA, ALLEK",O,1,DEM,14695.31,0.0,12585.71,0.0,23.0,2132.6,0.0,10000.0,0.0,0.0,0.0,10000.0,4695.31,FL,7.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,PASTRANA,ALLEK
552,Danelle Dodge,Female,White,,,No,No,Florida,8/23/2022,Representative,8,24592,45,Lost,0,0,,,,,,,,,,,False,White,DODGE,DANELLE,0,[],DANELLE,DODGE,H2FL08121,"DODGE, DANELLE",C,1,DEM,78115.93,0.0,76854.98,0.0,0.0,1260.95,0.0,40000.0,0.0,0.0,0.0,40000.0,38115.93,FL,8.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,DODGE,DANELLE
553,Joanne Terry,Female,White,,,No,No,Florida,8/23/2022,Representative,8,29542,55,Won,0,0,,,,,,,,,,,False,White,TERRY,JOANNE,0,[],JOANNE,TERRY,H2FL08105,"TERRY, JOANNE R",C,1,DEM,89920.38,0.0,89159.95,0.0,0.0,760.43,3688.88,12500.0,0.0,5500.0,0.0,7000.0,73232.41,FL,8.0,,,,,,455.09,0.0,12/31/2022,5.0,0.0,TERRY,JOANNE
